id,x,y,z,qw, qx, qy, qz, padding,
177,264.35,-246.356,-1.93086,0.999976,0.00484476,-0.00428288,0.00240918,0,
178,29.3504,-186.356,61.2865,0.991767,0.0326919,0.00590318,0.123674,0,
179,149.35,-101.356,13.1135,0.991167,0.092734,0.024579,-0.0915632,0,
180,299.35,-166.356,-43.7272,0.998802,0.0227053,0.0240714,0.0360534,0,
181,204.35,-391.356,13.2983,1,4.14637e-05,2.68488e-05,-1.29068e-05,0,
182,314.35,-81.3557,24.7789,0.967697,0.148793,-0.127101,-0.158959,0,
183,139.35,-276.356,-27.8606,0.978592,-0.0723954,-0.177072,-0.075903,0,
184,239.35,-376.356,-58.3409,0.999261,-0.0219124,-0.0238221,0.0207109,0,
185,269.35,-156.356,51.529,0.966645,-0.245876,0.0597068,0.0397282,0,
186,104.35,-191.356,-77.388,0.999555,0.0246498,-0.00516223,-0.0159575,0,
187,39.3504,-386.356,14.2405,0.997694,0.0398117,-0.0393358,0.0384072,0,
188,234.35,-326.356,-22.816,0.976503,0.0658992,0.082835,0.187718,0,
189,349.35,-266.356,21.125,0.962198,-0.194208,-0.175111,0.0761196,0,
190,179.35,-416.356,27.2946,0.999722,-0.0192668,0.00816452,-0.0108997,0,
191,334.35,-101.356,-22.9079,0.993042,-0.0028045,0.0934587,-0.0715914,0,
192,74.3504,-291.356,0.319817,0.999901,-0.00228303,0.00733829,0.0117646,0,
193,-20.6496,-116.356,-26.7476,0.930305,0.214555,0.296633,-0.0225101,0,
194,199.35,-101.356,-25.6405,0.998477,-0.0444724,-0.0325672,-0.00241617,0,
195,209.35,-276.356,-34.1874,0.993488,0.0888006,-0.0641275,-0.0313642,0,
196,344.35,-371.356,22.1551,0.956642,0.191543,-0.190627,0.108665,0,
197,149.35,-406.356,-11.5961,0.954221,-0.171718,0.195958,0.146886,0,
198,229.35,-391.356,-79.1595,0.938678,-0.265961,-0.199704,0.0909198,0,
199,324.35,-301.356,-63.9809,0.927267,-0.166494,0.0518165,0.331317,0,
